"Verifying 	old 	data			",,
"Times are in grams	",,
100-100s,0.000640283,8
100s-50-50s,-0.000192765,8
50-50s,0.00017231,6
50s-20-20d-10,-0.000061662,6
20-20s,-0.000072181,5
20s-20d,-0.000037743,5
20d-10-10s,-0.000101083,5
10-10s,0.000121268,5
10s-5-5w,0.000081936,5
5-5s,-0.000069925,5
5s-5w,-0.000000631,5
2-2s,-0.00006477,0.5
2s-2d,-0.000041124,0.5
2d-1-1s,0.000049755,0.5
1-1s,0.00007601,0.5
1s-1w,-0.000057911,0.5
1-1s,0.000076501,0.5
1s-1w,-0.000058598,0.5
100s,100.0000591,4.008
50s,50.00005313,2.624
20s,19.99999835,2.088
10s,10.00001029,1.747
5s,4.999997782,1.152
2s,1.999996291,0.806
1s,0.999956601,0.752
